selection,type,n_gen,pop_size,run_id,best_value,best_weight
tournament,inviável_penalizada,200,100,0,13136832,6336363
tournament,inviável_penalizada,200,100,1,13234086,6356519
tournament,inviável_penalizada,200,100,2,13066305,6379536
tournament,inviável_penalizada,200,100,3,12963224,6352767
tournament,inviável_penalizada,200,100,4,13180528,6395086
tournament,inviável_penalizada,200,100,5,13132792,6365449
tournament,inviável_penalizada,200,100,6,13189461,6382207
tournament,inviável_penalizada,200,100,7,13209635,6379279
tournament,inviável_penalizada,200,100,8,12973438,6392974
tournament,inviável_penalizada,200,100,9,13022950,6398166
tournament,penalidade_severa,100,200,0,13229276,6382256
tournament,penalidade_severa,100,200,1,13257699,6395090
tournament,penalidade_severa,100,200,2,13267375,6290876
tournament,penalidade_severa,100,200,3,13093873,6349322
tournament,penalidade_severa,100,200,4,13262764,6394107
tournament,penalidade_severa,100,200,5,13301007,6390134
tournament,penalidade_severa,100,200,6,13107913,6355966
tournament,penalidade_severa,100,200,7,13209635,6379279
tournament,penalidade_severa,100,200,8,13126358,6403566
tournament,penalidade_severa,100,200,9,13232257,6399892
tournament,penalidade_severa,100,100,0,13229276,6382256
tournament,penalidade_severa,100,100,1,13134186,6392383
tournament,penalidade_severa,100,100,2,13018595,6312213
tournament,penalidade_severa,100,100,3,12963224,6352767
tournament,penalidade_severa,100,100,4,13180528,6395086
tournament,penalidade_severa,100,100,5,13174736,6391556
tournament,penalidade_severa,100,100,6,13070487,6386689
tournament,penalidade_severa,100,100,7,13179164,6393652
tournament,penalidade_severa,100,100,8,13001563,6403081
tournament,penalidade_severa,100,100,9,13132983,6267631
tournament,penalidade_severa,200,200,0,13229276,6382256
tournament,penalidade_severa,200,200,1,13279916,6353078
tournament,penalidade_severa,200,200,2,13267375,6290876
tournament,penalidade_severa,200,200,3,13114346,6368002
tournament,penalidade_severa,200,200,4,13262764,6394107
tournament,penalidade_severa,200,200,5,13113200,6382039
tournament,penalidade_severa,200,200,6,13138112,6381794
tournament,penalidade_severa,200,200,7,13179164,6393652
tournament,penalidade_severa,200,200,8,13126358,6403566
tournament,penalidade_severa,200,200,9,13166845,6364944
tournament,penalidade_severa,200,100,0,13056807,6281262
tournament,penalidade_severa,200,100,1,13234086,6356519
tournament,penalidade_severa,200,100,2,12989272,6273149
tournament,penalidade_severa,200,100,3,12963224,6352767
tournament,penalidade_severa,200,100,4,13180528,6395086
tournament,penalidade_severa,200,100,5,13132792,6365449
tournament,penalidade_severa,200,100,6,13004596,6401044
tournament,penalidade_severa,200,100,7,13111411,6351107
tournament,penalidade_severa,200,100,8,12965108,6394747
tournament,penalidade_severa,200,100,9,13132602,6377277
