pc,pv,pm,pop_size,n_ger,run,best_fitness
0.5,0.7,0.01,100,200,8,429
0.5,0.7,0.01,100,200,9,455
0.5,0.7,0.01,200,100,0,431
0.5,0.7,0.01,200,100,1,403
0.5,0.7,0.01,200,100,2,456
0.5,0.7,0.01,200,100,3,475
0.5,0.7,0.01,200,100,4,509
0.5,0.7,0.01,200,100,5,476
0.5,0.7,0.01,200,100,6,465
0.5,0.7,0.01,200,100,7,432
0.5,0.7,0.01,200,100,8,444
0.5,0.7,0.01,200,100,9,453
0.5,0.7,0.01,200,200,0,461
0.5,0.7,0.01,200,200,1,454
0.5,0.7,0.01,200,200,2,503
0.5,0.7,0.01,200,200,3,464
0.5,0.7,0.01,200,200,4,483
0.5,0.7,0.01,200,200,5,459
0.5,0.7,0.01,200,200,6,467
0.5,0.7,0.01,200,200,7,386
0.5,0.7,0.01,200,200,8,429
0.5,0.7,0.01,200,200,9,452
0.5,0.7,0.05,100,100,0,510
0.5,0.7,0.05,100,100,1,443
0.5,0.7,0.05,100,100,2,458
0.5,0.7,0.05,100,100,3,456
0.5,0.7,0.05,100,100,4,429
0.5,0.7,0.05,100,100,5,480
0.5,0.7,0.05,100,100,6,488
0.5,0.7,0.05,100,100,7,455
0.5,0.7,0.05,100,100,8,430
0.5,0.7,0.05,100,100,9,490
0.5,0.7,0.05,100,200,0,465
0.5,0.7,0.05,100,200,1,452
0.5,0.7,0.05,100,200,2,479
0.5,0.7,0.05,100,200,3,444
0.5,0.7,0.05,100,200,4,498
0.5,0.7,0.05,100,200,5,524
0.5,0.7,0.05,100,200,6,488
0.5,0.7,0.05,100,200,7,518
0.5,0.7,0.05,100,200,8,486
0.5,0.7,0.05,100,200,9,459
0.5,0.7,0.05,200,100,0,477
0.5,0.7,0.05,200,100,1,453
0.5,0.7,0.05,200,100,2,459
0.5,0.7,0.05,200,100,3,458
0.5,0.7,0.05,200,100,4,474
0.5,0.7,0.05,200,100,5,382
0.5,0.7,0.05,200,100,6,461
0.5,0.7,0.05,200,100,7,447
0.5,0.7,0.05,200,100,8,481
0.5,0.7,0.05,200,100,9,478
0.5,0.7,0.05,200,200,0,472
0.5,0.7,0.05,200,200,1,444
0.5,0.7,0.05,200,200,2,473
0.5,0.7,0.05,200,200,3,470
0.5,0.7,0.05,200,200,4,404
0.5,0.7,0.05,200,200,5,459
